PRODUCT SYMBOL,CONTRACT MONTH,CONTRACT YEAR,CONTRACT DAY,CONTRACT,PRODUCT DESCRIPTION,OPEN,HIGH,HIGH AB INDICATOR,LOW,LOW AB INDICATOR,LAST,LAST AB INDICATOR,SETTLE,PT CHG,EST. VOL,PRIOR SETTLE,PRIOR VOL,PRIOR INT,TRADEDATE
0B,06,2018,,0BM18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,339.580,,,06/06/2018
0B,07,2018,,0BN18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,339.617,,,06/06/2018
0B,08,2018,,0BQ18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,338.775,,,06/06/2018
0B,09,2018,,0BU18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,337.200,,,06/06/2018
0B,10,2018,,0BV18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,335.450,,,06/06/2018
0B,11,2018,,0BX18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,333.325,,,06/06/2018
0B,12,2018,,0BZ18,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,330.950,,,06/06/2018
0B,01,2019,,0BF19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,331.492,,,06/06/2018
0B,02,2019,,0BG19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,332.033,,,06/06/2018
0B,03,2019,,0BH19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,332.690,,,06/06/2018
0B,04,2019,,0BJ19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,333.346,,,06/06/2018
0B,05,2019,,0BK19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,334.002,,,06/06/2018
0B,06,2019,,0BM19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,333.182,,,06/06/2018
0B,07,2019,,0BN19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,332.363,,,06/06/2018
0B,08,2019,,0BQ19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,331.543,,,06/06/2018
0B,09,2019,,0BU19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,329.151,,,06/06/2018
0B,10,2019,,0BV19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,326.759,,,06/06/2018
0B,11,2019,,0BX19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,324.367,,,06/06/2018
0B,12,2019,,0BZ19,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,320.384,,,06/06/2018
0B,01,2020,,0BF20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,316.402,,,06/06/2018
0B,02,2020,,0BG20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,312.420,,,06/06/2018
0B,03,2020,,0BH20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,315.764,,,06/06/2018
0B,04,2020,,0BJ20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,319.108,,,06/06/2018
0B,05,2020,,0BK20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,322.453,,,06/06/2018
0B,06,2020,,0BM20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,325.797,,,06/06/2018
0B,07,2020,,0BN20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,327.651,,,06/06/2018
0B,08,2020,,0BQ20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,329.505,,,06/06/2018
0B,09,2020,,0BU20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,331.359,,,06/06/2018
0B,10,2020,,0BV20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,333.213,,,06/06/2018
0B,11,2020,,0BX20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,335.068,,,06/06/2018
0B,12,2020,,0BZ20,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,,UNCH,0,336.922,,,06/06/2018
0D,06,2018,,0DM18,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,415.871,-2.664,0,418.535,,1392,06/06/2018
0D,07,2018,,0DN18,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,413.717,-2.820,75,416.537,90,603,06/06/2018
0D,08,2018,,0DQ18,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,409.948,-2.840,10,412.788,,299,06/06/2018
0D,09,2018,,0DU18,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,405.738,-2.798,10,408.536,,297,06/06/2018
0D,10,2018,,0DV18,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,401.173,-2.860,0,404.033,10,385,06/06/2018
0D,11,2018,,0DX18,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,396.628,-2.903,0,399.531,10,329,06/06/2018
0D,12,2018,,0DZ18,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,392.188,-2.840,0,395.028,10,334,06/06/2018
0D,01,2019,,0DF19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,389.129,-2.821,0,391.950,5,94,06/06/2018
0D,02,2019,,0DG19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,385.442,-2.842,0,388.284,5,92,06/06/2018
0D,03,2019,,0DH19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,381.725,-2.675,0,384.400,5,88,06/06/2018
0D,04,2019,,0DJ19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,377.350,-2.675,0,380.025,5,64,06/06/2018
0D,05,2019,,0DK19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,372.350,-2.800,0,375.150,5,72,06/06/2018
0D,06,2019,,0DM19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,365.100,-3.050,0,368.150,5,70,06/06/2018
0D,07,2019,,0DN19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,354.850,-3.425,0,358.275,5,69,06/06/2018
0D,08,2019,,0DQ19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,341.600,-3.925,0,345.525,5,64,06/06/2018
0D,09,2019,,0DU19,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,325.600,-4.175,0,329.775,5,71,06/06/2018
